化合物,英文名,化学式,SMILES,分子量,DENSITY,CALORICITY,MELTING,,气相能量(Hartree),液相能量,△Gsol,x1,cavity surface area,SASA*T(x2),蒸发焓(KJ/mol),蒸发焓(Kcal/mol),C原子数,H原子数,气相能量(Kcal/mol),燃烧焓(kcal/mol),O2 needed(mol),O2校正后(kcal/mol)
1-甲基-4-乙基苯,4-Ethyltoluene,C9H12,CC1=CC=C(CC)C=C1,120.2,0.8614,42.10 ,-62.35,,-349.8496,-349.859,-0.0094,-5.8986 ,171.659,51180.13085,55.3660 ,13.2328 ,9,12,-219534.122496,-1040.245 ,12,-1209.009 
正丙基苯,n-propylbenzene,C9H12,CCCC1=CC=CC=C1,120.2,0.8593,42.05 ,-99.5,,-350.016,-350.0422,-0.0262,-16.4408 ,173.48,51723.062,53.2207 ,12.7201 ,9,12,-219638.54016,-936.340 ,12,-1207.346 
异丙基苯,Cumene ,C9H12,CC(C)C1=CC=CC=C1,120.2,0.864,42.11 ,-96.02,,-349.835,-349.855,-0.02,-12.5502 ,167.8,50029.57,52.5193 ,12.5524 ,9,12,-219524.96085,-1050.087 ,12,-1209.166 
丁基苯,Butylbenzene,C10H14,CCCCC1=CC=CC=C1,134.22,0.8601,42.45 ,-87.85,,-389.113,-389.124,-0.011,-6.9026 ,194.548,58004.4862,61.9343 ,14.8027 ,10,14,-244172.29863,-1166.024 ,13.5,-1361.011 
异丁基苯,"sec-Butylbenzene,",C10H14,CC(C)CC1=CC=CC=C1,134.22,0.8621,42.45 ,-82.7,,,,,,,,,,,,,,,
"1,2,4-三甲基苯","1,2,4-trimethylbenzene",C9H12,CC1=C(C)C=C(C)C=C1,120.2,0.8758,42.04 ,-43.8,,-350.026,-350.0496,-0.0236,-14.8092 ,171.027,50991.70005,52.9053 ,12.6447 ,9,12,-219644.81526,-930.140 ,12,-1207.247 
"1,2-二甲基-4-乙基苯",,C10H14,CC1=C(C)C=C(CC)C=C1,134.22,0.8706,42.44 ,-66.9,,,,,,,,,,,,,,,
1-叔丁基-2-甲基苯,1-tert-Butyl-2-methylbenzene,C11H16,CC(C)(C)C1=CC=CC=C1C,148.245,0.8897,42.72 ,-50.3,,-428.376,-428.386,-0.01,-6.2751 ,199.438,59462.4397,63.5523 ,15.1894 ,11,16,-268810.22376,-1293.237 ,15,-1513.036 
1-叔丁基-3-甲基苯,1-tert-Butyl-3-methylbenzene,C11H16,CC(C)(C)C1=CC=CC(C)=C1,148.25,0.8657,42.72 ,-41.4,,,,,,,,,,,,,,,
联苯,Diphenyl,C12H10,C1(C2=CC=CC=C2)=CC=CC=C1,154.207,1.04,48.1,68.93,,-462.933,-462.9435,-0.0105,-6.5889 ,189.391,56466.92665,60.4768 ,14.4543 ,12,10,-290495.08683,-1305.134 ,14.5,-1463.230 
2-甲基联苯,2-methylbiphenyl,C13H12,CC1=CC=CC=C1C2=CC=CC=C2,168.24,1.0113,40.187965293131,-0.2,,-502.2,-502.214,-0.014,-8.7851 ,210.14,62653.241,66.1030 ,15.7990 ,13,12,-315135.522,-1428.879 ,16,-1615.199 
4-戊基联苯,4-Pentylbiphenyl,C17H20,CCCCCC(C=C1)=CC=C1C2=CC=CC=C2,224.35,0.943,41.4793540898923,10,,-659.265,-659.282,-0.017,-10.6677 ,293.995,87654.60925,90.6244 ,21.6598 ,17,20,-413695.38015,-1925.260 ,22,-2223.099 
二苯基甲烷,Diphenylmethane,C13H12,C1(CC2=CC=CC=C2)=CC=CC=C1,168.24,1.001,40.1891555204613,25.4,,-502.195,-502.211,-0.016,-10.0402 ,213.287,63591.51905,66.7213 ,15.9468 ,13,12,-315132.38445,-1431.869 ,16,-1615.247 
4-苄基-1，1'-联苯,"4-Benzyl-1,1’-bipheny",C19H16,C1(CC2=CC=C(C3=CC=CC=C3)C=C2)=CC=CC=C1,244.33,1.171,39.8391282376838,85,,-733.082,-733.102,-0.02,-12.5502 ,293.38,87471.247,89.9609 ,21.5012 ,19,16,-460016.28582,-2066.063 ,23,-2325.345 
1，1'-联萘,"1,1’-Binaphthyl",C20H14,C12=CC=CC=C1C(C3=CC=CC4=CC=CC=C43)=CC=C2,254.325,1.3,39.1211131394687,160,,-769.955,-769.976,-0.021,-13.1777 ,273.875,81655.83125,83.9855 ,20.0730 ,20,14,-483154.46205,-2160.090 ,23.5,-2376.846 
萘,naphthalene,C10H8,C12=CC=CC=C1C=CC=C2,128.17,1.0253,39.5073417937216,81,,-385.5836,-385.596,-0.0124,-7.7811 ,158.922,47382.5943,51.0884 ,12.2104 ,10,8,-241957.564836,-1081.225 ,12,-1209.665 
1-甲基萘,1-Methylnaphthalene ,C11H10,CC1=C(C=CC=C2)C2=CC=C1,142.2,1.0202,40.0823025691497,-30.43,,-424.853,-424.865,-0.012,-7.5301 ,176.678,52676.5457,56.4464 ,13.4910 ,11,10,-266599.50603,-1203.528 ,13.5,-1361.611 
"1,2-二甲基萘","1,2-methy-naphthalene",C12H12,CC1=C(C=CC=C2)C2=CC=C1C,156.23,1.001,40.5541136809946,0.8,,-464.122,-464.134,-0.012,-7.5301 ,194.331,57939.78765,61.7096 ,14.7490 ,12,12,-291241.19622,-1326.105 ,15,-1513.562 
"1,5-二甲基萘",,C12H12,CC1=C(C=CC=C2C)C2=CC=C1,156.23,1,40.5535434535851,82,,-464.124,-464.136,-0.012,-7.5301 ,195.385,58254.03775,62.0239 ,14.8241 ,12,12,-291242.45124,-1324.775 ,15,-1513.540 
2-乙基萘,2-ethy-naphthalene,C12H12,CCC1=CC=C2C(C=CC=C2)=C1,156.23,0.9922,40.5545120604191,-7.4,,-464.12,-464.133,-0.013,-8.1576 ,199.439,59462.73785,63.0725 ,15.0747 ,12,12,-291239.9412,-1327.034 ,15,-1513.577 
顺式全氢萘,cis-decalin,C10H18,[H][C@@]12CCCC[C@]1([H])CCCC2,138.25,0.8965,44.2596791589256,-42.9,,-391.485,-391.493,-0.008,-5.0201 ,185.046,55171.4649,59.5813 ,14.2403 ,10,18,-245660.75235,-1212.882 ,14.5,-1461.754 
反式全氢萘,trans-decalin,C10H18,[H][C@@]12CCCC[C@@]1([H])CCCC2,138.25,0.8659,44.2583840204457,-30.4,,-391.489,-391.498,-0.009,-5.6476 ,187.875,56014.93125,60.2648 ,14.4036 ,10,18,-245663.26239,-1210.209 ,14.5,-1461.711 
四氢萘,tetralin,C10H12,C12=C(CCCC2)C=CC=C1,132.21,0.9645,41.4927367340964,-35.7,,-387.944,-387.955,-0.011,-6.9026 ,170.792,50921.6348,54.8515 ,13.1098 ,10,12,-243438.73944,-1133.901 ,13,-1310.500 
1-甲基四氢萘,1-methy-tetralin,C11H14,CC1CCCC2=C1C=CC=C2,146.23,0.9583,41.8651917374119,-28.56,,-427.21,-427.221,-0.011,-6.9026 ,188.356,56158.3414,60.0882 ,14.3614 ,11,14,-268078.5471,-1258.366 ,14.5,-1462.481 
2-甲基四氢萘,,C11H14,CC1CC2=C(C=CC=C2)CC1,146.23,0.9536,41.8642664474285,-26.57,,-427.213,-427.224,-0.011,-6.9026 ,190.288,56734.3672,60.6642 ,14.4991 ,11,14,-268080.42963,-1256.346 ,14.5,-1462.449 
5-甲基四氢萘,"1,2,3,4-Tetrahydro-5-methylnaphthalene",C11H14,CC1=CC=CC2=C1CCCC2,146.23,0.972,41.8643352713722,-23,,-427.213,-427.225,-0.012,-7.5301 ,188.716,56265.6754,60.0355 ,14.3488 ,11,14,-268080.42963,-1256.497 ,14.5,-1462.451 
5-乙基四氢萘,5-ethy-tetralin,C12H16,CCC1=CC=CC2=C1CCCC2,160.26,0.9533,42.1695537081896,-36.56,,-466.477,-466.490 ,-0.013,-8.1576 ,207.946,61999.0999,65.6089 ,15.6809 ,12,16,-292718.98227,-1382.137 ,16,-1614.451 
蒽,anthracene,C14H10,C12=CC=CC=C1C=C3C=CC=CC3=C2,178.23,1.28,39.1346709192651,215.76,,-539.115,-539.131,-0.016,-10.0402 ,205.545,61283.24175,64.4130 ,15.3951 ,14,10,-338300.05365,-1495.526 ,16.5,-1666.262 
1-甲基蒽,1-methy-anthracene,C15H12,CC1=C2C=C3C=CC=CC3=CC2=CC=C1,192.26,1.0471,39.5867495815479,85.5,,-578.386,-578.402,-0.016,-10.0402 ,224.376,66897.7044,70.0275 ,16.7370 ,15,12,-362942.99886,-1616.764 ,18,-1818.191 
2-甲基蒽,2-methy-anthracene,C15H12,CC1=CC=C2C=C3C=CC=CC3=CC2=C1,192.26,1.8,39.587,209,,,,,,,,,,,,,,,
9-甲基蒽,9-methy-anthracene,C15H12,CC1=C2C=CC=CC2=CC3=CC=CC=C13,192.26,1.065,39.5876923563044,81.5,,-578.382,-578.397,-0.015,-9.4127 ,221.085,65916.49275,69.2063 ,16.5407 ,15,12,-362940.48882,-1619.470 ,18,-1818.235 
"9,10-二甲基蒽","9,10-Dimethylanthracene",C16H14,CC1=C2C=CC=CC2=C(C)C3=CC=CC=C13,206.28,1.084,39.9816853737929,183.6,,-617.646,-617.662,-0.016,-10.0402 ,235.832,70313.3108,73.4431 ,17.5533 ,16,14,-387579.04146,-1745.430 ,19.5,-1970.239 
对称八氢蒽,"1,2,3,4,5,6,7,8-Octahydroanthracene",C14H18,C1(CCCC2)=C2C=C(CCCC3)C3=C1,186.3,0.9703,41.9697063998324,78,,-543.841,-543.855,-0.014,-8.7851 ,228.667,68177.06605,71.6269 ,17.1192 ,14,18,-341265.66591,-1597.690 ,18.5,-1867.883 
不对称八氢蒽,,C14H18,C12=CC=CC=C1CC3C(CCCC3)C2,186.3,0.9836,42.1953277604644,76,,-542.841,-542.855,-0.014,-8.7851 ,227.588,67855.3622,71.3052 ,17.0424 ,14,18,-340638.15591,-2225.277 ,18.5,-1877.924 
全氢蒽,,C14H24,C12CCCCC1CC3C(CCCC3)C2,192.35,0.9389,43.9401292854582,79.5,,-547.387,-547.398,-0.011,-6.9026 ,244.642,72940.0123,76.8698 ,18.3723 ,14,24,-343490.81637,-1673.411 ,20,-2019.084 
9-甲基全氢蒽,,C15H26,CC1C2CCCCC2CC3C1CCCC3,206.37,0.9439,44.0382249751478,89.6,,-586.651,-586.662,-0.011,-6.9026 ,260.467,77658.23605,81.5881 ,19.5000 ,15,26,-368129.36901,-1799.256 ,21.5,-2171.087 
9-乙基全氢蒽,,C16H28,CCC1C2CCCCC2CC3C1CCCC3,220.4,0.9417,44.1219,91.2,,,,,,,,,,16,28,,,23,-2292.288 
"9,10-二氢蒽","9,10-Dihydroanthracene",C14H12,C12=CC=CC=C1CC3=C(C=CC=C3)C2,180.25,1.215,39.8665422433841,111,,-540.297,-540.312,-0.015,-9.4127 ,211.711,63121.63465,66.4114 ,15.8727 ,14,12,-339041.77047,-1520.707 ,17,-1716.661 
"9,10-二甲基全氢蒽",,C16H28,CC1C2C(CCCC2)C(C)C3CCCCC31,220.4,0.9489,44.122,93.2,,,,,,,,,,,,,,,
菲,phenanthrene,C14H10,C12=CC=CC=C1C=CC3=CC=CC=C23,178.23,0.98,39.1321334766906,99.24,,-539.126,-539.142,-0.016,-10.0402 ,203.437,60654.74155,63.7845 ,15.2449 ,14,10,-338306.95626,-1488.774 ,16.5,-1666.154 
